Total: 364
Published: 0
Pending: 0
Other statuses: 364

Other statuses:
  Semana 38, Dia 7, status: aprovado, id: e812d5c9-39c1-47d4-b089-29f55a51ade9
  Semana 37, Dia 7, status: aprovado, id: c0e25f15-4b94-4eb3-9476-598790b76391
  Semana 35, Dia 4, status: aprovado, id: b8acf4ed-47c6-4bb5-83c0-2d5e9fbbb54a
  Semana 40, Dia 2, status: aprovado, id: b86f7ca5-8d05-493d-8f8e-10c77075ec69
  Semana 38, Dia 1, status: aprovado, id: ba7ac0b0-dff8-4ce4-bdde-408f53cb6674
  Semana 39, Dia 5, status: aprovado, id: d33083cc-7185-416b-8378-94522d2ab611
  Semana 35, Dia 5, status: aprovado, id: 6a90a8c3-1d4e-4cba-bca9-f6ddcb9620c6
  Semana 39, Dia 6, status: aprovado, id: e86d5a1f-3d42-4628-b328-d9cf0bf88b2f
  Semana 40, Dia 4, status: aprovado, id: a32ac4d1-1b4f-4ca4-816d-b351c02d74ad
  Semana 35, Dia 6, status: aprovado, id: 9dc1ce97-10d4-4da5-8602-9caa3ecb4e11
  Semana 38, Dia 3, status: aprovado, id: 122d83ff-1152-450e-adf5-7c3361248e2b
  Semana 40, Dia 1, status: aprovado, id: 23a8f63a-fe40-4c9d-843f-11d20df232de
  Semana 38, Dia 4, status: aprovado, id: 81afb932-971e-488e-8b32-59535e60a586
  Semana 36, Dia 1, status: aprovado, id: 9dc241ed-6a6c-43fb-ac3a-dc44952e2bbc
  Semana 36, Dia 2, status: aprovado, id: ed7af8fe-1440-4905-ac85-3c8417e77135
  Semana 38, Dia 5, status: aprovado, id: 96fa1961-abbc-4812-afb2-6d9e5a5995dc
  Semana 36, Dia 5, status: aprovado, id: 2b70349b-a67b-416c-8aae-5e81ce1d95b1
  Semana 39, Dia 1, status: aprovado, id: 1c295e20-8948-4152-b7f1-c6a5d2abb227
  Semana 43, Dia 4, status: aprovado, id: 631693d2-f8e9-4a5a-8f08-7210bc20e48f
  Semana 45, Dia 4, status: aprovado, id: e7991eab-e336-4a34-a5eb-e8db4e0e2784
  Semana 39, Dia 3, status: aprovado, id: a0c5d184-84f8-4b4a-b7a5-cb13d8b2cec3
  Semana 43, Dia 5, status: aprovado, id: f33570f6-b0e1-4eab-a820-39c6d2ac823f
  Semana 45, Dia 5, status: aprovado, id: 9312b8e5-e646-43c8-a9fe-b52fe4bf5114
  Semana 23, Dia 2, status: aprovado, id: 6c9b75a9-19a2-416c-b52a-836aeb9acc98
  Semana 45, Dia 6, status: aprovado, id: 1e06a031-2d19-4540-bf5b-1f90e052e19f
  Semana 41, Dia 5, status: aprovado, id: ab3fc1db-4dbb-4aa7-a024-8aa9b1f4e834
  Semana 45, Dia 7, status: aprovado, id: 5c38c99b-f1d0-41e0-837d-96c3d8921f77
  Semana 45, Dia 2, status: aprovado, id: 2ea30d09-d86f-489a-816e-2e8af3fc0fa6
  Semana 41, Dia 7, status: aprovado, id: 94d3afe1-fb76-40bb-b4a2-17da591a2eb6
  Semana 43, Dia 6, status: aprovado, id: 604c7472-0002-450c-96d6-aed0caa01524
  Semana 41, Dia 6, status: aprovado, id: 04d6d3a8-c356-4362-a02d-ee3746bf43c3
  Semana 46, Dia 1, status: aprovado, id: f9759118-322d-496d-b4cd-6f148fb70af2
  Semana 40, Dia 6, status: aprovado, id: 33d6d004-8b13-4ed3-b82f-b11a3585ab73
  Semana 42, Dia 1, status: aprovado, id: cf0bafe9-beed-4faf-b195-54a105dae393
  Semana 43, Dia 7, status: aprovado, id: 4a64ef6d-acbd-4820-8f8f-4ca8fdf4dc11
  Semana 46, Dia 2, status: aprovado, id: f23ab485-4e9e-4ce2-a3ce-2feff66175e2
  Semana 41, Dia 1, status: aprovado, id: 442c1a60-6bac-4f22-9b9e-8815d979e8aa
  Semana 44, Dia 1, status: aprovado, id: 349559a4-540c-4cfc-9494-8d74c715afdb
  Semana 42, Dia 6, status: aprovado, id: eb1d1911-7cbc-490c-a94d-235856442e76
  Semana 41, Dia 2, status: aprovado, id: 370baab4-4827-4c57-b4b8-5fd4d8908a82
  Semana 44, Dia 2, status: aprovado, id: ba1b1201-0598-407e-8144-fecbc76bc361
  Semana 42, Dia 2, status: aprovado, id: 22d85832-47d7-47ee-8524-bd753afdcf64
